amphipoda_tot,bivalvia_tot,clupeidae_tot,clupea_harengus_tot,gadus_morhua_tot,gobiidae_tot,mysidae_tot,non_bio_tot,other_crustacea_tot,other_tot,other_pisces_tot,platichthys_flesus_tot,polychaeta_tot,saduria_entomon_tot,sprattus_sprattus_tot,pred_id,pred_length_cm,pred_weight_g,species,year,quarter,subdiv,ices_rect,X,Y,group,id,n
0.02,0,0,0,0,0,0.14999999999999997,0,0,0,0,0,0,0,0,2015_4_COD_196,25,142,Cod,2015,4,25,41G7,647.3338697206914,6216.0246844983185,Large cod,2015_4_41G7_Large cod,19
0.01,0,0,0,0,0,0.04,0,0,0,0.06,0,0,1.3,0,2015_4_COD_199,36,351,Cod,2015,4,25,41G7,647.3338697206914,6216.0246844983185,Large cod,2015_4_41G7_Large cod,19
0,0,0,0,0,0,0,0,0.5700000000000002,0,0,0,0.25,0,0,2015_4_COD_20,28,191,Cod,2015,4,25,40G4,474.81727343113545,6165.344364084612,Large cod,2015_4_40G4_Large cod,48
1.4999999999999998,0,0,0,0,0,0.49,0,0,0,0,0,0,0.74,0,2015_4_COD_201,31,321,Cod,2015,4,25,41G7,647.3338697206914,6216.0246844983185,Large cod,2015_4_41G7_Large cod,19
0.5,0,0,0,0,0,0.12,0,0,0,0,0,0,0.51,0,2015_4_COD_203,22,110,Cod,2015,4,25,41G7,647.3338697206914,6216.0246844983185,Small cod,2015_4_41G7_Small cod,9
0,0,0,21.15,0,0,0.35,0,0,0,0,0,0,0.07,0,2015_4_COD_207,40,608,Cod,2015,4,25,41G7,647.3338697206914,6216.0246844983185,Large cod,2015_4_41G7_Large cod,19
0,0,0,0,0,0,0.13,0,0.2699999999999998,0,0,0,0.43,0,0,2015_4_COD_21,32,235,Cod,2015,4,25,40G4,474.81727343113545,6165.344364084612,Large cod,2015_4_40G4_Large cod,48
0,0,3.47,6.55,0,0,0.55,0,0,0,0.48,0,0,0.39,0,2015_4_COD_212,41,684,Cod,2015,4,25,41G7,647.3338697206914,6216.0246844983185,Large cod,2015_4_41G7_Large cod,19
0,0,0,58.75000000000001,0,0,0.07,0,0,0,2.14,0,0,0,0,2015_4_COD_213,42,640,Cod,2015,4,25,41G7,647.3338697206914,6216.0246844983185,Large cod,2015_4_41G7_Large cod,19
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015_4_COD_214,45,832,Cod,2015,4,25,41G7,647.3338697206914,6216.0246844983185,Large cod,2015_4_41G7_Large cod,19
0,0,0,0,0,0,0.22000000000000003,0,0,0.08,0,0,0,0.12999999999999998,0,2015_4_COD_222,24,135,Cod,2015,4,25,41G7,647.3338697206914,6216.0246844983185,Small cod,2015_4_41G7_Small cod,9
0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015_4_COD_229,16,35,Cod,2015,4,25,41G7,647.3338697206914,6216.0246844983185,Small cod,2015_4_41G7_Small cod,9
0.12999999999999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015_4_COD_230,17,41,Cod,2015,4,25,41G7,647.3338697206914,6216.0246844983185,Small cod,2015_4_41G7_Small cod,9
0.01,0,0,0,0,0,0.01,0,0.02,0,0,0,0,0,0,2015_4_COD_233,15,36,Cod,2015,4,25,41G7,647.3338697206914,6216.0246844983185,Small cod,2015_4_41G7_Small cod,9
0,0,0,0,0,0,0.26,0,0,0,0.05,0,0,0.2,0,2015_4_COD_234,34,344,Cod,2015,4,25,41G7,647.3338697206914,6216.0246844983185,Large cod,2015_4_41G7_Large cod,19
0,0,0,0,0,0,0.41000000000000014,0,0.19,0,0,0,0,0.34,0,2015_4_COD_235,26,167,Cod,2015,4,25,41G7,647.3338697206914,6216.0246844983185,Large cod,2015_4_41G7_Large cod,19
0,0,0,0,0,0,0.43999999999999984,0,0,0,0,0,0,1.69,0,2015_4_COD_238,37,285,Cod,2015,4,25,41G7,647.3338697206914,6216.0246844983185,Large cod,2015_4_41G7_Large cod,19
0,0,0,0,0,0,0.58,0,0,0,0,0,0,0.03,0,2015_4_COD_249,21,97,Cod,2015,4,26,41G8,710.2659422570316,6246.518439875497,Small cod,2015_4_41G8_Small cod,57
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015_4_COD_25,34,346,Cod,2015,4,25,40G4,474.81727343113545,6165.344364084612,Large cod,2015_4_40G4_Large cod,48
0.01,0,0,0,0,0,0,0,0,0,0,0,0,0.22,0,2015_4_COD_250,20,79,Cod,2015,4,26,41G8,710.2659422570316,6246.518439875497,Small cod,2015_4_41G8_Small cod,57
0,0,0,0,0,0,0.8400000000000003,0,0,0,0,0,0,0.14,0,2015_4_COD_251,24,138,Cod,2015,4,26,41G8,710.2659422570316,6246.518439875497,Small cod,2015_4_41G8_Small cod,57
0,0,0,0,0,0,0.2699999999999999,0,0,0,0,0,0,0,0,2015_4_COD_252,21,93,Cod,2015,4,26,41G8,710.2659422570316,6246.518439875497,Small cod,2015_4_41G8_Small cod,57
0,0,0,0,0,0,5.640000000000014,0,0,0,0,0,0,0,0,2015_4_COD_253,25,168,Cod,2015,4,26,41G8,710.2659422570316,6246.518439875497,Large cod,2015_4_41G8_Large cod,60
0,0,0,0,0,0,0.6399999999999995,0,0,0,0,0,0,0,0,2015_4_COD_254,22,105,Cod,2015,4,26,41G8,710.2659422570316,6246.518439875497,Small cod,2015_4_41G8_Small cod,57
0,0,0,0,0,0,1.5899999999999992,0,0,0,0,0,0,0,0,2015_4_COD_255,20,86,Cod,2015,4,26,41G8,710.2659422570316,6246.518439875497,Small cod,2015_4_41G8_Small cod,57
0,0,0,0,0,0,1.0899999999999992,0,0,0,0,0,0,0,0,2015_4_COD_256,18,59,Cod,2015,4,26,41G8,710.2659422570316,6246.518439875497,Small cod,2015_4_41G8_Small cod,57
0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015_4_COD_257,16,46,Cod,2015,4,26,41G8,710.2659422570316,6246.518439875497,Small cod,2015_4_41G8_Small cod,57
0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,2015_4_COD_258,17,49,Cod,2015,4,26,41G8,710.2659422570316,6246.518439875497,Small cod,2015_4_41G8_Small cod,57
0,0,0,0,0,0,0.4000000000000001,0,0,0,0,0,0,0,0,2015_4_COD_259,22,95,Cod,2015,4,26,41G8,710.2659422570316,6246.518439875497,Small cod,2015_4_41G8_Small cod,57
0,0,0,0,0,0,0.12,0,0,0,0,0,0,0,0,2015_4_COD_260,16,43,Cod,2015,4,26,41G8,710.2659422570316,6246.518439875497,Small cod,2015_4_41G8_Small cod,57
0,0,0,0,0,0,0.7100000000000004,0,0,0,0,0,0,0,0,2015_4_COD_262,18,53,Cod,2015,4,26,41G8,710.2659422570316,6246.518439875497,Small cod,2015_4_41G8_Small cod,57
0,0,0,0,0,0,0.6300000000000001,0,0,0,0,0,0,0,0,2015_4_COD_263,19,71,Cod,2015,4,26,41G8,710.2659422570316,6246.518439875497,Small cod,2015_4_41G8_Small cod,57
0,0,0,0,0,0,1.6599999999999993,0,0,0,0,0,0,0,0,2015_4_COD_264,19,69,Cod,2015,4,26,41G8,710.2659422570316,6246.518439875497,Small cod,2015_4_41G8_Small cod,57
0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,2015_4_COD_265,16,43,Cod,2015,4,26,41G8,710.2659422570316,6246.518439875497,Small cod,2015_4_41G8_Small cod,57
0,0,0,0,0,0,0.12,0,0,0,0,0,0,0,0,2015_4_COD_266,17,46,Cod,2015,4,26,41G8,710.2659422570316,6246.518439875497,Small cod,2015_4_41G8_Small cod,57
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015_4_COD_267,24,133,Cod,2015,4,26,41G8,710.2659422570316,6246.518439875497,Small cod,2015_4_41G8_Small cod,57
0,0,0,0,0,0,0.5999999999999999,0,0,0,0,0,0,0.03,0,2015_4_COD_269,26,184,Cod,2015,4,26,41G8,710.2659422570316,6246.518439875497,Large cod,2015_4_41G8_Large cod,60
0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,2015_4_COD_27,37,409,Cod,2015,4,25,40G4,474.81727343113545,6165.344364084612,Large cod,2015_4_40G4_Large cod,48
0,0,0,15.3,0,0,0.1,0,0,0,0,0,0,0,0,2015_4_COD_270,30,263,Cod,2015,4,26,41G8,710.2659422570316,6246.518439875497,Large cod,2015_4_41G8_Large cod,60
0,0,0,0,0,0,0.25999999999999995,0,0,0,0,0,0,0,0,2015_4_COD_271,14,28,Cod,2015,4,26,41G8,710.2659422570316,6246.518439875497,Small cod,2015_4_41G8_Small cod,57
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015_4_COD_272,29,236,Cod,2015,4,26,41G8,710.2659422570316,6246.518439875497,Large cod,2015_4_41G8_Large cod,60
0,0,0,4.88,0,0,0.21,0,0,0,0,0,0,0.25,0,2015_4_COD_274,32,264,Cod,2015,4,26,41G8,710.2659422570316,6246.518439875497,Large cod,2015_4_41G8_Large cod,60
0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,2015_4_COD_275,39,523,Cod,2015,4,26,41G8,710.2659422570316,6246.518439875497,Large cod,2015_4_41G8_Large cod,60
0,0,0,0,0,0,0.7999999999999997,0,0,0,0,0,0,0,0,2015_4_COD_276,23,111,Cod,2015,4,26,41G8,710.2659422570316,6246.518439875497,Small cod,2015_4_41G8_Small cod,57
0,0,0,0,0,0,0.29,0,0,0,0,0,0,0,0,2015_4_COD_277,15,32,Cod,2015,4,26,41G8,710.2659422570316,6246.518439875497,Small cod,2015_4_41G8_Small cod,57
0,0,0.44,0,0,0,0.16,0,0,0,3.66,0,0,0,0,2015_4_COD_278,38,496,Cod,2015,4,26,41G8,710.2659422570316,6246.518439875497,Large cod,2015_4_41G8_Large cod,60
0,0,0,0,0,0.2,7.829999999999965,0,0,0,0,0,0,0.02,0,2015_4_COD_279,23,130,Cod,2015,4,26,41G8,710.2659422570316,6246.518439875497,Small cod,2015_4_41G8_Small cod,57
0,0.01,0,0,0,0,0,0,0.11,0.36,0,0,0,0,0,2015_4_COD_28,27,157,Cod,2015,4,25,40G4,474.81727343113545,6165.344364084612,Large cod,2015_4_40G4_Large cod,48
0,0,0,0,0,0,2.0799999999999996,0,0,0,0,0,0,0,0,2015_4_COD_280,27,186,Cod,2015,4,26,41G8,710.2659422570316,6246.518439875497,Large cod,2015_4_41G8_Large cod,60
0,0,0,0,0,0,1.7700000000000014,0,0,0,0.18,0,0,0.25,0,2015_4_COD_281,30,184,Cod,2015,4,26,41G8,710.2659422570316,6246.518439875497,Large cod,2015_4_41G8_Large cod,60
0,0,0,0,0,0,0.2,0,0,0,0.37,0,0,0,0,2015_4_COD_283,31,365,Cod,2015,4,26,41G8,710.2659422570316,6246.518439875497,Large cod,2015_4_41G8_Large cod,60
0,0,0,0,0,0,0.26999999999999996,0,0,0,0.08,0,0,0,0,2015_4_COD_285,26,171,Cod,2015,4,26,41G8,710.2659422570316,6246.518439875497,Large cod,2015_4_41G8_Large cod,60
0,0,0,0,0,0,0.01,0,0,0,0,0,0,0.08,0,2015_4_COD_286,29,213,Cod,2015,4,26,41G8,710.2659422570316,6246.518439875497,Large cod,2015_4_41G8_Large cod,60
0,0,0,0,0,0,0.08,0.26,0,0,0,0,0,0,0,2015_4_COD_287,25,154,Cod,2015,4,26,41G8,710.2659422570316,6246.518439875497,Large cod,2015_4_41G8_Large cod,60
0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,2015_4_COD_288,14,24,Cod,2015,4,26,41G8,710.2659422570316,6246.518439875497,Small cod,2015_4_41G8_Small cod,57
0,0,0,0,0,0,1.5900000000000003,0,0,0,0,0,0,0,0,2015_4_COD_290,27,168,Cod,2015,4,26,41G8,710.2659422570316,6246.518439875497,Large cod,2015_4_41G8_Large cod,60
0,0,0,0,0,0,0.3399999999999999,0,0,0,0,0,0,0,0,2015_4_COD_291,13,19,Cod,2015,4,26,41G8,710.2659422570316,6246.518439875497,Small cod,2015_4_41G8_Small cod,57
0,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0,2015_4_COD_292,31,255,Cod,2015,4,26,41G8,710.2659422570316,6246.518439875497,Large cod,2015_4_41G8_Large cod,60
0,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0,2015_4_COD_295,13,22,Cod,2015,4,26,41G8,710.2659422570316,6246.518439875497,Small cod,2015_4_41G8_Small cod,57
0,0,0,0,0,0,0,0,0,0,1.17,0,0,0,0,2015_4_COD_296,35,411,Cod,2015,4,26,41G8,710.2659422570316,6246.518439875497,Large cod,2015_4_41G8_Large cod,60
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015_4_COD_297,34,358,Cod,2015,4,26,41G8,710.2659422570316,6246.518439875497,Large cod,2015_4_41G8_Large cod,60
0,0,0.31,0,0,0,0.21,0,0,0,0.12,0,0,0,0,2015_4_COD_298,28,185,Cod,2015,4,26,41G8,710.2659422570316,6246.518439875497,Large cod,2015_4_41G8_Large cod,60
0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,2015_4_COD_299,11,14,Cod,2015,4,26,41G8,710.2659422570316,6246.518439875497,Small cod,2015_4_41G8_Small cod,57
0.01,0.15,0,0,0,0,0.03,0,0.3599999999999997,0,0,0,0.5,0,0,2015_4_COD_3,31,262,Cod,2015,4,25,40G4,474.81727343113545,6165.344364084612,Large cod,2015_4_40G4_Large cod,48
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015_4_COD_30,39,497,Cod,2015,4,25,40G4,474.81727343113545,6165.344364084612,Large cod,2015_4_40G4_Large cod,48
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015_4_COD_301,43,750,Cod,2015,4,26,41G8,710.2659422570316,6246.518439875497,Large cod,2015_4_41G8_Large cod,60
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015_4_COD_303,20,62,Cod,2015,4,26,41G8,710.2659422570316,6246.518439875497,Small cod,2015_4_41G8_Small cod,57
0,0,0,0,0,0,0.9099999999999996,0,0,0,0,0,0,0,0,2015_4_COD_304,22,98,Cod,2015,4,26,41G8,710.2659422570316,6246.518439875497,Small cod,2015_4_41G8_Small cod,57
0,0,0,0,0,0,0.16,0,0,0,0,0,0,0,0,2015_4_COD_305,21,96,Cod,2015,4,26,41G8,710.2659422570316,6246.518439875497,Small cod,2015_4_41G8_Small cod,57
0,0,0,0,0,0,0.18,0,0,0,0,0,0,0,0,2015_4_COD_306,21,91,Cod,2015,4,26,41G8,710.2659422570316,6246.518439875497,Small cod,2015_4_41G8_Small cod,57
0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,2015_4_COD_307,23,112,Cod,2015,4,26,41G8,710.2659422570316,6246.518439875497,Small cod,2015_4_41G8_Small cod,57
0,0,0,0,0,0,0.01,0,0,0,0,0,0,0.01,0,2015_4_COD_308,19,73,Cod,2015,4,26,41G8,710.2659422570316,6246.518439875497,Small cod,2015_4_41G8_Small cod,57
0,0,0,0,0,0,0.8500000000000005,0,0,0,0,0,0,0,0,2015_4_COD_309,20,76,Cod,2015,4,26,41G8,710.2659422570316,6246.518439875497,Small cod,2015_4_41G8_Small cod,57
0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,2015_4_COD_310,18,54,Cod,2015,4,26,41G8,710.2659422570316,6246.518439875497,Small cod,2015_4_41G8_Small cod,57
0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,2015_4_COD_311,19,63,Cod,2015,4,26,41G8,710.2659422570316,6246.518439875497,Small cod,2015_4_41G8_Small cod,57
0,0,0,0,0,0,1.26,0,0,0,0,0,0,0.4,0,2015_4_COD_312,24,132,Cod,2015,4,26,41G8,710.2659422570316,6246.518439875497,Small cod,2015_4_41G8_Small cod,57
0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,2015_4_COD_313,17,47,Cod,2015,4,26,41G8,710.2659422570316,6246.518439875497,Small cod,2015_4_41G8_Small cod,57
0,0,0,0,0,0,0.18,0,0,0,0,0,0,0,0,2015_4_COD_314,17,49,Cod,2015,4,26,41G8,710.2659422570316,6246.518439875497,Small cod,2015_4_41G8_Small cod,57
0,0,0,0,0,0,0.06,0,0,0,0,0,0,0,0,2015_4_COD_315,17,55,Cod,2015,4,26,41G8,710.2659422570316,6246.518439875497,Small cod,2015_4_41G8_Small cod,57
0.01,0,0,0,0,0,2.2299999999999995,0,0,0,0,0,0,0,0,2015_4_COD_316,23,118,Cod,2015,4,26,41G8,710.2659422570316,6246.518439875497,Small cod,2015_4_41G8_Small cod,57
0,0,0,0,0,0,0.22,0,0,0,0,0,0,0,0,2015_4_COD_317,18,55,Cod,2015,4,26,41G8,710.2659422570316,6246.518439875497,Small cod,2015_4_41G8_Small cod,57
0,0,0,0,0,0,1.95,0,0,0,0,0,0,0,0,2015_4_COD_318,27,178,Cod,2015,4,26,41G8,710.2659422570316,6246.518439875497,Large cod,2015_4_41G8_Large cod,60
0,0,0,0,0,0,0.02,0,0,0,0.06,0,0,0.01,0,2015_4_COD_319,30,233,Cod,2015,4,26,41G8,710.2659422570316,6246.518439875497,Large cod,2015_4_41G8_Large cod,60
0,0.01,0,0,0,0,0,0,0.16,0,0,0,0.01,0,0,2015_4_COD_32,20,86,Cod,2015,4,25,40G4,474.81727343113545,6165.344364084612,Small cod,2015_4_40G4_Small cod,18
0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,2015_4_COD_320,15,33,Cod,2015,4,26,41G8,710.2659422570316,6246.518439875497,Small cod,2015_4_41G8_Small cod,57
0.04,0,0,0,0,0,0.7199999999999998,0,0,0,0,0,0,0,0,2015_4_COD_321,25,160,Cod,2015,4,26,41G8,710.2659422570316,6246.518439875497,Large cod,2015_4_41G8_Large cod,60
0,0,0,0,0,0,0.17,0,0,0,0,0,0,0,0,2015_4_COD_322,22,99,Cod,2015,4,26,41G8,710.2659422570316,6246.518439875497,Small cod,2015_4_41G8_Small cod,57
0,0,0,0,0,0,6.079999999999983,0,0,0,0,0,0,0,0,2015_4_COD_323,27,180,Cod,2015,4,26,41G8,710.2659422570316,6246.518439875497,Large cod,2015_4_41G8_Large cod,60
0.02999999999999996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015_4_COD_324,16,33,Cod,2015,4,26,41G8,710.2659422570316,6246.518439875497,Small cod,2015_4_41G8_Small cod,57
0,0,0,0,0,0,0.32000000000000006,0,0,0,0,0,0,0,0,2015_4_COD_325,16,39,Cod,2015,4,26,41G8,710.2659422570316,6246.518439875497,Small cod,2015_4_41G8_Small cod,57
0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,2015_4_COD_326,15,31,Cod,2015,4,26,41G8,710.2659422570316,6246.518439875497,Small cod,2015_4_41G8_Small cod,57
0,0,0,0,0,0,0.2899999999999999,0,0,0,0,0,0,0,0,2015_4_COD_327,13,24,Cod,2015,4,26,41G8,710.2659422570316,6246.518439875497,Small cod,2015_4_41G8_Small cod,57
0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0,2015_4_COD_328,30,276,Cod,2015,4,26,41G8,710.2659422570316,6246.518439875497,Large cod,2015_4_41G8_Large cod,60
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015_4_COD_329,14,24,Cod,2015,4,26,41G8,710.2659422570316,6246.518439875497,Small cod,2015_4_41G8_Small cod,57
0,0,0,0,0,0,0.26999999999999996,0,0,0,0.64,0,0,0,0,2015_4_COD_330,29,239,Cod,2015,4,26,41G8,710.2659422570316,6246.518439875497,Large cod,2015_4_41G8_Large cod,60
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015_4_COD_331,32,303,Cod,2015,4,26,41G8,710.2659422570316,6246.518439875497,Large cod,2015_4_41G8_Large cod,60
0,0,0,26.98,0,0,0,0,0,0,0,0,0,0,0,2015_4_COD_332,32,425,Cod,2015,4,26,41G8,710.2659422570316,6246.518439875497,Large cod,2015_4_41G8_Large cod,60
0,0,0,0,0,0,0.28,0,0,0,0,0,0,0,0,2015_4_COD_334,14,26,Cod,2015,4,26,41G8,710.2659422570316,6246.518439875497,Small cod,2015_4_41G8_Small cod,57
0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.23,2015_4_COD_335,31,211,Cod,2015,4,26,41G8,722.240107181838,6254.562207983028,Large cod,2015_4_41G8_Large cod,60
